AnimalType,AgeUponOutcome,Breed,Color,SexuponOutcome
1,730,450,36,0
1,1095,865,130,3
1,730,438,131,2
1,1095,450,36,2
1,1825,1343,318,3
1,4015,450,130,3
0,60,637,38,3
1,60,1066,98,3
1,1460,504,5,1
1,365,696,25,3
0,180,640,68,3
1,1460,250,38,2
0,60,640,168,2
1,2555,1066,341,2
1,60,1066,252,0
1,365,112,226,3
1,60,1336,185,1
1,90,74,289,3
1,60,1249,256,2
0,365,640,41,2
1,1825,1066,279,2
0,28,640,167,1
1,730,1066,86,3
1,60,847,25,3
1,730,438,320,2
0,365,640,104,0
1,1095,962,5,2
1,1095,979,194,1
0,120,640,111,1
0,180,640,296,3
1,2555,481,329,3
0,60,640,104,3
1,2920,504,226,3
0,120,632,38,2
1,730,689,318,3
0,60,640,111,3
1,1460,1066,98,3
1,30,249,38,1
1,1460,55,38,1
1,1095,696,252,3
0,28,640,63,1
1,1460,1291,38,2
1,1095,450,353,3
1,1095,1005,285,2
0,6,640,216,0
1,270,515,166,2
1,60,562,36,2
1,1825,877,89,2
0,5475,640,86,2
1,730,1136,137,3
1,120,1066,342,0
0,120,632,38,1
1,1095,27,130,2
0,60,640,291,3
1,2555,74,71,3
0,1095,637,297,3
0,1095,640,216,2
1,730,1365,84,2
1,1825,980,318,0
1,730,27,38,2
1,730,847,38,3
0,730,1251,211,3
1,2920,980,5,2
1,240,286,130,2
1,300,450,250,1
1,90,1066,86,2
1,120,1066,98,1
1,730,15,38,0
1,1460,450,307,3
0,90,632,104,1
1,1460,1066,289,2
1,2190,696,114,2
1,730,813,320,2
1,330,307,88,2
0,90,640,167,2
0,365,640,320,2
0,730,1251,211,0
1,2920,980,318,3
1,1095,811,329,0
0,365,640,111,3
0,365,640,38,4
0,60,640,139,3
0,14,640,329,4
1,365,1066,38,0
0,1825,632,86,3
1,30,847,338,3
1,365,1254,177,2
0,30,640,104,1
0,2555,639,68,2
1,4745,736,187,2
0,60,640,68,2
0,1460,640,291,3
0,7,640,318,4
0,365,640,216,2
0,90,640,220,3
0,90,1252,5,3
1,365,1066,130,3
1,1095,1312,334,2
0,1095,637,220,2
0,1095,640,41,1
1,60,585,318,3
0,60,640,68,3
0,365,640,41,4
0,1825,1251,86,2
1,1460,695,25,2
1,365,869,88,2
1,730,810,329,2
1,730,1066,86,2
0,180,640,104,3
1,365,696,88,2
1,300,1066,318,3
0,60,640,5,0
1,730,391,130,3
0,2190,1021,150,2
1,2555,74,23,2
1,365,1177,307,3
0,21,640,5,1
1,365,585,88,2
1,1095,787,36,3
0,60,640,139,3
0,240,640,63,0
1,365,307,320,2
1,730,307,98,1
0,1095,640,332,3
1,240,1092,250,2
1,30,847,19,2
1,1095,847,38,2
1,1095,1071,98,2
1,730,74,330,3
0,210,640,139,0
0,90,640,296,3
1,300,1066,98,2
1,2190,549,239,2
0,14,640,104,4
1,60,696,259,3
0,365,640,296,3
0,60,640,220,2
0,150,640,38,0
0,21,640,296,0
1,2555,846,5,2
1,1460,155,354,2
1,1095,412,250,3
1,730,696,252,1
0,120,637,111,0
0,60,640,5,3
0,30,640,216,1
0,90,640,104,3
1,60,307,130,2
1,150,980,38,2
0,14,632,111,0
0,365,640,110,3
1,150,167,250,3
1,730,623,33,2
1,60,847,123,1
0,90,640,38,1
1,730,866,358,2
0,120,640,5,2
0,365,640,216,3
1,1095,450,114,2
0,2555,640,38,2
1,730,696,36,3
1,1460,1022,353,2
0,2,640,38,4
0,21,640,296,0
1,2190,450,37,3
0,60,640,5,3
0,7,640,295,4
0,365,640,213,2
0,60,640,111,2
1,2555,1066,178,1
1,180,450,289,2
0,1460,640,104,3
0,365,637,216,3
1,180,737,226,1
1,90,882,289,2
0,30,636,86,1
1,730,583,38,2
0,1460,640,296,0
1,210,1300,2,2
1,365,74,227,3
1,1825,450,289,3
1,90,450,131,2
1,730,1066,41,1
1,3650,909,131,0
1,730,1066,329,2
0,365,922,104,3
1,730,980,31,3
1,30,1105,98,3
0,30,640,167,0
1,150,27,320,2
0,365,637,105,1
0,60,640,38,2
1,120,847,38,2
0,90,640,296,3
1,1095,847,5,1
1,730,450,84,3
1,90,585,131,2
0,3650,632,63,3
0,60,640,63,3
1,730,744,239,1
0,120,640,5,4
0,60,632,216,1
0,90,640,220,2
0,60,640,38,3
1,150,264,37,2
0,90,640,38,2
0,60,640,296,3
0,30,640,296,3
0,60,640,41,0
1,2190,1066,44,2
0,365,640,139,3
1,730,538,38,2
0,1460,922,111,3
1,730,450,250,0
0,2190,640,104,2
1,1095,1066,86,3
0,730,1271,260,4
1,90,450,353,0
1,30,1066,320,0
1,1095,450,130,2
1,1825,847,187,1
0,60,640,38,2
1,28,450,252,1
1,1095,649,318,2
1,1095,450,38,0
1,730,1158,307,2
0,365,639,38,2
0,60,640,38,2
1,1095,924,318,2
1,2555,617,248,2
1,1095,1066,130,3
0,1460,640,38,2
1,1095,869,5,2
1,365,736,187,2
0,330,637,139,3
1,1095,696,318,1
0,60,640,167,2
0,365,640,111,0
1,60,847,38,2
1,2555,847,38,2
1,365,1066,185,3
0,90,640,41,1
1,1460,956,25,3
1,270,74,307,3
1,330,450,5,2
1,730,847,88,0
0,2920,640,111,1
0,30,640,5,1
1,730,1066,38,0
0,21,1251,297,0
1,730,559,226,3
1,6205,517,329,3
1,270,847,250,2
1,60,847,5,2
1,365,1170,320,2
1,3650,1291,250,0
1,1095,980,194,2
1,180,1195,130,3
1,180,1066,86,1
1,365,617,25,0
1,365,450,289,1
0,730,640,320,0
1,300,450,353,2
0,180,640,111,2
1,2555,962,318,2
1,365,1066,86,1
0,365,640,220,1
0,60,640,220,2
0,14,640,296,0
1,365,1136,248,3
1,180,549,274,2
1,1825,847,318,3
1,730,1177,130,2
0,1,640,5,4
1,180,955,36,2
0,30,640,38,1
0,90,640,104,0
1,1460,166,307,2
1,1460,1169,320,2
0,21,640,5,4
0,60,637,111,2
0,2920,640,104,2
1,120,1105,10,3
1,1460,518,131,3
0,365,640,318,3
1,1095,696,114,3
0,730,640,104,2
1,1095,1066,86,3
0,60,632,41,2
0,120,640,104,2
0,365,640,38,0
0,1095,640,38,0
0,730,632,38,2
1,150,847,38,3
1,3650,450,274,1
1,180,1105,89,3
0,6,640,215,4
1,150,1066,98,3
0,730,640,68,2
1,60,847,38,3
1,14,450,5,0
1,180,730,353,1
1,1460,450,166,3
0,30,640,111,0
0,1095,1271,260,2
1,365,1291,130,3
1,1095,1066,98,2
0,210,640,216,2
1,60,1186,88,2
1,730,980,194,3
1,1095,450,36,3
1,365,1066,38,2
1,120,962,318,3
0,28,640,111,0
1,30,307,98,2
1,365,1066,349,2
1,730,407,103,3
1,365,307,250,0
0,90,640,38,3
1,1825,156,329,3
0,120,640,41,1
0,30,640,104,1
1,365,213,289,3
0,730,640,111,2
0,150,640,41,3
1,1460,450,41,2
1,365,737,166,1
1,365,847,38,3
1,1095,1066,165,2
1,90,956,25,2
0,6,640,139,4
1,1460,1364,342,2
0,2,640,215,4
1,90,807,38,3
1,2190,1066,130,1
1,30,450,329,1
0,365,639,63,2
1,60,847,130,3
0,1460,640,38,3
0,365,640,104,0
1,1825,1066,274,2
1,150,450,38,2
1,1095,1066,38,2
1,365,696,252,2
1,5475,980,204,2
0,30,640,320,0
1,30,865,289,2
1,1825,696,276,3
1,7,54,25,0
1,7,1236,329,0
0,30,640,216,0
1,1825,351,250,3
1,2190,1066,26,3
1,730,962,318,1
0,300,639,104,2
0,365,640,167,1
1,730,559,88,3
0,730,640,63,4
0,150,640,104,2
1,3650,74,227,2
1,120,847,289,2
1,365,450,25,3
0,120,640,104,1
1,730,131,37,1
0,90,640,5,3
1,240,179,98,2
0,60,640,296,3
1,1460,450,353,2
0,365,640,320,2
1,365,1066,86,3
0,730,640,216,1
0,730,640,216,3
1,2555,847,5,2
1,6,847,318,4
0,60,640,324,0
1,730,125,329,1
0,1095,640,216,2
1,60,998,320,2
0,30,640,220,1
1,2555,450,250,2
0,365,640,111,2
0,2190,640,104,2
1,1825,166,36,3
1,90,1066,362,0
1,730,1066,289,2
1,1825,1090,259,3
1,210,450,25,2
1,300,1170,25,3
1,730,932,318,2
1,30,737,88,3
1,365,847,5,2
0,60,632,86,3
0,150,1251,260,2
0,28,640,5,1
1,300,450,274,3
0,60,637,168,2
0,90,640,104,3
1,365,948,276,2
0,30,640,63,1
1,90,962,2,0
0,730,640,220,2
0,28,632,197,1
0,60,640,5,2
1,2920,231,88,3
0,730,640,111,0
1,730,847,38,3
0,1825,640,41,2
0,28,640,216,1
0,730,640,5,0
0,30,640,68,0
1,365,847,364,3
1,2190,1236,204,2
1,1825,1291,98,3
0,60,637,216,2
0,210,640,296,0
0,2920,640,109,3
1,4380,450,38,0
1,1095,847,318,1
0,1095,640,5,2
1,1825,450,274,3
0,730,640,111,0
0,60,640,139,3
1,1095,1236,259,0
0,90,640,337,0
0,14,640,220,0
1,60,450,318,2
0,90,640,5,3
0,150,640,38,0
1,5475,847,358,1
1,1095,450,276,3
1,60,104,38,3
1,120,807,86,3
0,4,640,41,4
0,120,640,216,2
1,2190,450,25,2
0,365,640,5,1
0,90,640,104,0
1,4380,1336,194,3
1,5110,1146,131,0
1,1460,450,289,2
1,730,961,318,3
1,730,365,289,3
0,60,640,111,1
1,730,449,274,3
0,21,640,111,4
1,1825,450,329,2
1,60,266,177,0
1,730,450,25,2
1,1460,438,248,3
0,1460,1251,59,3
1,1095,1066,362,3
1,365,847,5,2
0,60,640,139,3
0,365,1271,140,3
0,150,640,63,3
0,60,640,5,2
0,90,640,104,3
1,730,307,98,2
0,730,640,296,3
0,60,639,139,3
1,150,696,114,3
1,365,365,270,3
1,730,1066,150,1
1,150,1116,318,3
1,1460,212,318,3
1,730,909,204,1
0,120,640,296,3
1,730,512,88,0
0,365,640,38,1
1,60,266,38,2
1,730,1170,353,2
1,730,696,25,1
0,90,640,5,1
0,730,640,111,3
1,1825,1066,130,3
0,60,640,5,1
0,60,632,167,2
1,7,847,38,4
0,60,637,220,2
0,60,640,297,3
1,1460,962,5,3
0,300,640,111,0
1,3650,811,320,2
1,60,450,274,0
1,300,696,25,0
0,0,640,41,4
1,1460,413,289,3
0,1,640,38,4
1,1460,357,318,2
1,330,793,38,3
1,365,1365,269,2
1,365,847,5,3
0,60,639,296,3
1,90,847,5,1
0,3650,640,216,3
0,730,640,332,3
0,90,640,104,3
0,21,1251,211,0
0,30,640,320,3
1,240,249,38,3
1,365,469,289,3
0,60,640,216,2
0,60,636,216,2
1,90,847,5,2
1,1460,712,114,2
1,300,696,25,3
1,3285,844,114,3
1,2920,1065,330,2
1,3285,1170,320,3
0,730,640,111,2
1,60,407,98,2
0,21,640,166,1
1,730,1290,38,3
1,365,1066,98,2
0,1825,945,320,2
1,4015,847,5,3
0,60,640,220,2
0,30,640,5,0
1,730,450,274,2
1,365,343,36,2
0,14,640,5,1
1,1095,297,38,1
1,730,348,318,2
1,150,249,38,3
1,365,74,98,0
1,120,125,38,2
0,14,640,295,0
1,3285,706,239,3
1,2555,847,5,3
0,60,640,38,2
1,60,71,137,2
1,60,450,226,1
0,240,640,5,2
1,2920,962,5,2
1,60,846,318,3
0,2920,632,296,3
1,2555,518,250,3
0,30,640,216,2
0,30,632,318,0
0,60,640,5,2
1,730,1109,98,3
0,60,640,220,3
1,150,1066,330,3
0,21,640,38,1
1,90,456,89,3
0,365,640,5,0
0,2190,1251,297,3
1,365,407,99,2
1,300,847,150,2
0,365,640,38,3
0,730,640,111,3
0,90,640,63,2
0,60,640,111,2
1,730,1255,329,2
0,1095,640,104,2
0,4,640,167,1
0,60,640,111,2
1,1095,1066,86,3
0,60,640,291,3
1,30,847,38,2
1,300,249,320,3
1,5110,847,5,4
0,365,640,139,3
1,60,450,128,3
0,60,640,111,0
1,240,1255,250,2
1,1095,450,36,3
1,1825,1065,318,3
0,730,640,104,2
0,90,640,5,2
0,60,640,68,1
1,2920,847,5,1
1,365,584,274,3
1,240,450,114,2
1,2555,980,318,2
0,30,640,38,1
1,730,407,364,1
0,60,640,216,3
1,120,438,289,2
0,1460,640,291,3
1,60,167,130,3
1,60,125,307,3
0,60,640,104,3
0,30,640,86,0
1,730,450,274,3
0,365,640,41,1
1,1095,962,318,3
1,365,1169,307,3
1,730,450,98,3
1,730,585,320,2
1,730,856,165,2
0,180,632,168,3
0,3,640,111,1
1,2190,924,342,3
0,60,636,111,2
1,2920,1364,36,2
0,30,640,220,1
1,2555,528,58,1
0,60,640,111,3
0,60,1271,260,2
0,1095,640,5,2
0,365,1251,211,4
0,365,640,139,0
1,3285,878,137,3
1,30,665,336,2
1,365,450,320,3
1,1460,450,252,2
1,730,249,38,2
1,150,194,38,3
0,730,640,111,0
1,2190,580,88,2
1,1460,744,226,3
1,730,227,36,3
1,365,450,226,2
0,21,640,104,1
1,120,450,130,3
1,2,1066,98,0
1,330,626,318,2
1,730,45,330,2
0,365,640,68,3
1,60,99,48,3
1,1825,202,252,3
1,365,249,38,0
1,2555,125,307,3
1,1825,1170,38,3
1,150,847,320,2
0,365,632,296,0
0,60,640,104,3
0,30,640,216,1
0,60,640,5,2
1,1095,696,25,3
1,30,716,252,3
0,730,640,68,3
1,30,696,253,0
0,1095,640,296,0
1,1460,1066,86,1
1,1095,450,274,3
1,365,962,5,2
1,120,253,320,1
0,60,640,220,2
0,120,1251,151,0
1,730,438,38,3
1,365,450,329,2
0,120,640,211,1
1,1095,450,329,3
0,90,1326,324,2
0,1460,640,86,2
1,730,1255,38,0
1,240,249,26,0
1,365,1157,250,2
0,1095,640,41,0
0,60,640,324,2
1,300,764,330,3
0,21,640,5,1
1,730,811,353,2
1,60,450,274,3
0,730,640,104,3
1,1460,74,320,3
1,1460,811,25,2
0,60,640,216,2
1,1460,585,329,2
0,365,640,104,3
0,3285,640,5,3
0,300,640,111,2
1,365,891,89,2
0,365,640,104,0
1,365,450,289,3
0,365,945,139,0
1,120,450,289,1
1,365,1313,194,3
0,14,640,38,4
1,365,737,187,3
1,1825,1126,329,2
1,90,450,204,0
0,60,640,104,1
0,150,640,216,2
0,730,640,104,1
1,365,436,250,2
1,730,847,38,0
1,1825,450,130,2
1,730,974,166,3
1,60,847,165,3
1,730,234,250,3
1,240,115,114,3
1,2555,249,38,3
1,14,61,5,1
0,90,640,291,3
1,1825,307,289,2
1,330,862,165,2
1,365,892,38,3
0,21,640,220,1
1,30,74,329,3
1,90,1066,329,2
0,2920,640,105,0
0,14,640,5,1
0,365,640,104,3
1,2920,559,307,3
0,150,640,5,2
1,60,407,353,2
0,730,640,168,3
1,60,450,177,0
1,365,280,130,3
0,90,640,41,2
1,365,847,358,2
0,270,640,139,0
1,1095,696,318,2
1,730,74,307,0
1,180,1123,329,3
1,730,847,307,3
0,3650,640,291,3
1,365,27,38,0
1,365,27,86,2
0,60,637,220,1
1,60,696,318,0
0,1095,632,139,3
1,3650,962,274,2
0,365,640,104,1
0,60,637,104,2
1,730,1066,289,3
0,14,640,104,1
0,30,640,5,0
0,28,640,318,1
0,365,640,167,4
0,730,640,216,2
1,1825,696,36,2
0,365,640,216,2
0,60,640,211,3
1,365,1066,10,3
0,60,640,296,3
0,7,640,5,1
1,90,570,307,1
1,730,1254,318,2
0,365,640,320,2
1,120,27,329,2
0,210,640,139,0
1,730,447,288,2
1,365,438,5,2
0,60,640,104,2
0,365,640,139,0
0,1095,640,38,2
1,30,495,38,2
0,1825,922,111,2
0,4745,637,111,2
1,2920,449,25,3
0,30,640,111,0
1,365,956,36,2
0,365,640,296,3
1,60,1105,330,3
0,90,640,111,2
0,60,632,38,4
0,730,640,291,3
1,60,881,130,2
1,365,55,86,2
1,30,1352,318,0
1,150,1066,38,3
1,365,1066,324,0
0,14,640,41,0
1,730,275,307,3
1,730,450,320,0
1,1460,249,38,3
0,730,640,291,0
1,730,962,318,2
0,365,640,104,0
0,60,632,104,2
0,90,640,195,2
1,1095,74,307,1
0,14,640,216,1
1,365,468,250,3
1,365,1,38,2
0,730,640,332,4
0,28,640,104,1
1,365,1066,289,2
0,90,640,111,1
1,365,182,165,3
0,60,632,38,2
0,365,640,86,2
1,730,1374,31,1
1,1825,125,36,3
1,730,585,36,2
1,365,679,239,2
1,90,61,114,0
1,365,1066,329,2
1,1095,450,274,3
1,2920,208,307,2
1,60,74,228,3
1,730,847,88,3
1,210,345,274,3
1,365,1149,289,2
1,1095,811,130,2
1,2920,909,274,2
0,21,640,38,1
1,2555,450,88,0
0,180,640,111,1
0,60,640,5,0
1,28,1235,5,0
1,210,764,318,2
1,270,1066,289,2
1,150,1221,353,3
1,120,847,330,3
0,1825,640,104,3
0,60,640,291,3
1,5110,729,210,2
0,730,632,291,0
1,2190,696,5,3
0,14,640,329,4
1,2920,1365,276,2
1,2190,125,58,2
1,730,962,318,2
0,730,640,296,0
1,1095,1254,38,1
0,150,640,260,2
0,14,640,63,0
0,365,640,42,0
1,1095,1274,166,2
0,6,640,104,4
1,210,1066,307,3
0,730,640,220,4
1,3650,438,165,0
1,365,881,318,3
1,60,280,289,3
1,1095,1136,274,2
0,30,640,291,0
1,5110,450,252,1
1,240,559,289,3
1,1825,1066,86,2
1,1460,178,38,3
1,180,906,114,1
1,7,74,307,0
0,60,640,296,3
0,2,640,63,4
0,14,640,332,0
1,300,125,307,2
1,1825,1235,320,1
1,60,1002,38,3
1,3285,1065,86,1
1,1825,1065,86,2
1,2190,450,336,2
1,1095,450,336,2
0,2,640,5,4
1,1460,1066,320,0
0,3650,1251,186,2
1,730,1170,307,2
1,1095,306,38,2
1,730,696,89,2
0,60,640,296,3
1,300,122,307,2
0,90,640,291,3
1,730,1066,38,2
1,3650,846,5,2
1,1460,450,349,2
0,730,640,296,0
0,120,640,139,3
1,3650,320,98,3
0,365,640,63,2
0,14,637,111,0
0,21,640,68,1
1,300,279,36,2
0,4380,922,104,3
1,180,1066,88,2
0,90,640,38,0
0,90,640,5,2
1,180,249,38,1
0,365,640,167,0
0,90,1251,186,1
1,1095,74,307,2
0,21,640,5,4
1,1095,1236,334,0
0,30,640,320,1
1,1460,847,5,2
0,150,640,104,0
1,365,847,10,3
1,120,215,289,2
1,730,450,274,3
1,60,208,38,3
1,365,1066,88,3
0,28,632,38,1
1,300,571,5,2
0,1095,640,38,3
1,4380,1136,38,2
1,730,450,358,1
1,365,1061,226,3
1,1095,199,276,2
1,150,847,38,0
0,14,640,220,1
1,2190,1220,259,1
1,1095,988,204,3
1,365,696,38,2
1,150,167,353,3
1,120,450,166,1
1,730,1038,31,3
1,1095,507,88,2
0,21,640,104,4
1,730,847,38,3
1,1095,1066,353,3
0,60,1271,140,3
0,365,640,38,3
1,300,1146,259,3
0,60,640,111,2
1,90,847,5,2
1,365,1203,36,3
0,730,640,38,2
1,4380,74,48,2
1,730,678,226,2
0,90,640,38,2
0,1095,640,63,2
0,90,640,104,2
0,90,945,63,2
1,1460,494,41,1
1,1095,765,320,2
0,1095,640,104,3
0,2920,632,111,2
1,2190,696,114,2
1,1825,450,25,2
0,60,640,139,3
1,730,817,320,3
1,2190,847,5,2
0,60,640,86,3
0,90,640,5,0
1,730,34,349,2
1,90,100,329,0
0,60,640,41,2
0,1825,640,220,2
0,14,640,139,0
1,730,86,98,3
0,365,1251,211,3
1,365,1291,38,3
1,2190,847,130,2
0,730,640,111,0
0,14,640,86,4
1,365,450,88,0
1,240,696,25,3
1,1460,450,177,2
0,120,640,139,3
0,21,640,86,4
1,1825,450,274,3
0,60,640,5,3
0,60,640,104,3
1,30,450,5,3
1,365,166,130,0
1,730,1066,185,0
0,14,640,41,1
1,60,847,5,2
1,365,811,318,3
0,300,640,220,2
1,150,1231,36,1
0,60,640,5,2
1,210,74,36,2
1,730,847,5,2
1,60,958,307,2
1,300,307,185,3
1,1095,1066,89,3
0,330,640,295,3
1,180,459,130,2
1,60,268,130,3
1,1460,1269,329,2
1,30,709,307,3
0,365,640,104,0
0,365,640,38,3
1,365,450,276,3
1,365,1343,318,2
0,21,640,216,1
0,365,640,216,0
1,90,1066,181,2
0,2555,1251,186,2
0,90,640,5,4
0,60,632,291,3
0,365,640,5,3
0,21,640,5,1
1,30,1089,86,0
1,730,962,318,3
1,1460,1066,98,2
0,7,640,111,1
1,150,450,36,3
0,150,640,104,2
1,365,1066,38,1
1,365,847,5,2
1,330,450,274,2
1,28,450,131,0
1,1460,847,5,3
1,1095,450,88,1
1,365,847,38,1
0,7,640,104,4
0,60,640,216,2
0,7,640,41,4
0,30,640,5,1
0,365,632,296,3
0,60,640,104,3
1,730,878,358,2
1,1095,695,276,3
1,1095,450,353,3
0,300,640,104,3
0,60,640,111,3
1,730,1066,329,2
1,1460,450,36,2
0,730,637,38,2
1,1095,1066,330,3
1,60,450,274,2
0,365,640,139,0
1,1460,980,5,2
1,730,696,276,2
0,365,640,139,3
1,365,962,318,3
1,730,847,274,2
1,300,180,259,3
0,1095,637,68,2
1,30,249,259,3
0,180,632,296,3
1,4380,1158,38,0
0,60,640,296,3
1,1825,450,254,3
1,1095,1066,38,2
0,60,640,41,0
1,1460,751,358,3
0,365,640,86,2
0,120,640,296,3
1,1095,1066,250,2
1,2190,155,307,2
0,60,640,104,2
0,60,640,104,3
0,120,640,216,2
1,2190,450,36,1
1,240,617,84,2
0,120,922,104,2
1,2920,450,5,3
0,90,640,68,3
1,2190,862,5,0
1,365,55,89,0
0,365,640,318,3
0,1825,637,41,2
1,210,847,38,2
0,150,640,167,2
0,180,640,104,2
1,2920,1318,318,3
0,2190,1251,297,3
0,120,640,320,4
1,60,1066,185,0
1,2190,1212,5,3
0,2190,1251,211,3
0,30,640,216,1
0,730,640,139,3
0,210,640,38,0
1,730,1196,25,3
0,365,640,104,2
1,60,450,353,1
1,365,1066,329,3
1,3285,450,307,3
0,30,640,324,1
1,30,891,5,1
1,2920,974,318,3
0,90,640,5,3
0,5110,637,111,2
0,21,640,5,1
1,730,1066,289,3
0,90,640,216,2
0,730,640,216,2
0,60,640,5,3
0,90,640,295,3
0,300,640,267,3
1,365,890,38,1
0,1460,640,111,2
0,90,640,104,1
1,2920,1222,130,3
0,730,640,63,3
0,90,640,63,2
0,21,640,318,1
0,90,1251,140,3
0,150,640,104,2
0,2,640,291,4
0,1825,637,38,2
0,60,640,63,2
1,180,1066,98,2
1,1095,499,38,2
1,365,962,318,3
0,1095,640,296,3
1,365,696,25,0
1,1825,1255,226,2
1,365,1066,320,3
0,1095,640,104,2
0,28,640,139,4
0,1825,640,38,2
1,1825,847,358,0
0,365,640,41,0
0,270,640,111,3
1,5840,348,38,2
1,60,847,38,3
1,730,559,38,2
1,240,1158,329,0
1,2555,1066,38,3
1,60,559,250,1
1,330,101,38,2
1,210,696,88,2
1,730,696,318,2
0,60,640,86,1
1,1095,343,131,2
1,1095,234,86,1
1,90,61,252,3
0,14,640,63,4
0,90,637,111,3
1,120,1197,36,2
0,21,1250,260,1
1,365,55,185,2
0,30,640,38,1
0,7,640,167,1
1,2555,449,36,2
0,60,640,111,1
0,240,640,291,0
1,365,1146,130,1
1,2555,1069,237,2
1,730,1066,185,3
0,180,632,5,1
0,30,640,104,1
1,1095,847,38,2
1,60,73,56,1
1,1095,495,329,3
1,1095,559,36,2
1,1460,1066,86,3
0,365,640,63,2
1,2555,1169,353,3
1,3285,559,36,2
0,30,640,104,0
0,4380,640,220,1
0,1095,631,342,3
0,60,640,104,2
0,4015,1251,260,2
0,300,637,104,2
0,365,640,86,4
0,60,632,216,3
0,30,637,38,1
1,30,450,353,0
1,150,696,114,3
0,1825,640,139,3
0,730,637,63,3
0,28,640,63,1
1,365,1066,130,2
0,30,640,68,0
1,730,962,2,2
1,1095,847,5,0
1,1,1066,329,0
1,1460,696,88,2
1,60,463,329,2
1,1460,607,320,2
0,90,640,111,2
1,120,561,36,2
1,365,449,185,2
0,60,640,139,3
0,365,637,195,1
0,730,640,104,3
1,4380,450,38,0
1,365,74,238,2
0,28,640,216,4
1,3285,879,226,2
1,2190,450,353,0
1,240,1365,114,2
1,120,249,98,3
1,30,450,307,3
1,90,1066,329,2
0,730,640,104,1
1,1825,298,38,3
0,1095,640,104,3
1,3650,450,289,3
0,60,640,86,2
0,60,640,104,3
1,1460,948,276,1
0,60,640,63,2
1,365,994,318,3
1,180,1116,318,2
0,30,640,296,0
1,730,1274,318,2
1,730,131,130,2
0,60,640,5,2
0,730,640,216,1
0,2555,640,38,2
1,1095,979,263,3
1,150,595,329,2
1,60,1066,329,3
0,120,640,111,1
1,240,696,25,0
0,90,637,139,3
0,90,1251,205,0
1,730,459,307,2
0,90,640,63,3
1,365,1066,86,2
0,7,640,38,4
1,60,459,289,3
0,60,640,5,2
1,730,847,358,3
0,1460,640,38,2
1,2555,438,318,2
1,240,1066,130,3
0,30,640,216,1
0,21,640,63,0
1,3650,847,358,3
1,2190,764,318,2
1,730,1066,330,0
0,1825,640,318,0
0,7,637,318,4
0,730,640,38,1
1,365,1066,130,3
1,180,443,353,3
1,1460,962,36,3
0,730,640,111,1
1,365,112,38,3
1,730,696,88,2
1,60,74,38,2
1,730,763,318,3
0,7,640,104,4
1,730,822,274,3
1,365,1246,38,1
1,730,1105,98,3
0,120,632,63,3
1,3285,1065,192,2
1,730,975,5,2
1,365,811,320,3
0,365,640,139,0
1,730,450,38,2
1,5840,847,150,0
1,1095,1066,86,2
0,30,640,63,0
1,2190,463,320,2
1,730,450,320,3
1,1825,495,289,3
1,90,847,5,0
1,1825,450,36,3
1,730,561,204,3
0,60,637,63,3
1,365,61,318,0
0,180,640,139,3
1,365,847,165,2
0,365,640,306,3
1,730,696,318,3
1,4015,1365,114,3
1,1095,1235,353,0
1,365,407,130,3
1,30,1365,318,2
1,730,61,114,2
1,1460,307,250,2
1,2190,1136,31,2
0,4015,640,296,3
1,730,123,98,2
0,120,640,38,2
0,1095,640,324,2
1,730,701,226,2
0,365,637,5,3
0,150,640,146,3
0,365,640,111,3
1,1825,716,88,2
1,60,450,362,3
0,28,640,41,0
1,730,361,252,3
1,730,149,250,2
0,180,640,38,4
1,4380,125,25,2
0,365,640,5,3
0,300,640,38,0
0,60,640,38,3
1,210,577,307,2
0,90,640,5,1
0,730,640,5,4
0,6,640,38,4
1,2920,450,274,2
1,240,1066,86,2
1,730,365,274,2
1,1460,504,187,1
1,30,559,130,0
0,60,640,5,1
1,730,1291,114,3
1,730,504,131,2
1,90,855,353,0
1,2920,1066,226,2
1,30,450,114,1
1,330,847,226,3
0,30,640,63,3
1,730,810,329,2
1,120,980,194,3
1,5,1066,259,0
0,120,640,216,2
1,1095,438,318,0
1,1825,49,150,2
0,365,640,38,0
1,730,1066,38,2
1,150,1170,36,1
1,30,450,130,3
1,180,988,203,2
1,730,847,358,3
1,3285,249,5,3
0,60,640,104,1
1,730,1202,25,2
1,240,1105,98,3
1,2920,74,320,3
0,300,640,220,2
1,5110,956,5,2
0,120,640,86,2
1,365,1066,250,3
0,60,640,346,2
1,365,307,130,1
1,365,82,349,3
0,14,640,296,4
1,365,1302,5,3
1,1095,351,353,2
0,60,640,111,2
1,730,450,289,2
1,365,866,150,3
0,60,640,111,0
1,60,249,307,3
0,2190,632,5,3
1,1460,847,130,2
0,14,640,104,4
1,1095,438,36,2
0,1095,640,38,0
1,365,847,150,2
1,365,1234,364,3
0,30,640,296,3
1,120,846,5,2
0,150,640,111,2
1,2190,450,88,0
1,300,529,320,2
0,30,637,104,2
1,365,254,354,2
1,365,1066,353,3
1,60,1269,353,2
1,1095,74,69,3
0,30,640,104,3
0,730,637,11,2
0,730,640,42,3
1,1460,432,36,0
0,60,632,5,2
0,7,640,166,1
0,730,640,104,3
0,365,640,139,0
1,730,696,36,2
0,60,640,167,2
0,210,640,5,2
1,365,1066,89,1
1,1825,1066,98,2
1,730,450,178,2
1,365,1236,318,3
0,60,640,296,3
